hsa-mir-1322	8	10697295	10697404	tags:216.666666667	14412	-
hsa-mir-3192	20	18447751	18447793	tags:2.33333333333	3508	+
hsa-mir-3192	20	18448007	18448127	tags:503.833333333	3252	+
hsa-mir-3191	19	47734176	47734203	tags:2.33333333333	3975	-
hsa-mir-3191	19	47734371	47734459	tags:42.6666666667	4170	-
hsa-mir-3191	19	47736137	47736277	tags:23.8333333333	5936	-
hsa-mir-3191	19	47735847	47736019	tags:199.0	5646	-
hsa-mir-670	11	43543859	43543886	tags:0.166666666667	37347	+
hsa-mir-670	11	43544126	43544154	tags:2.33333333333	37080	+
hsa-mir-670	11	43543532	43543559	tags:0.166666666667	37674	+
hsa-mir-670	11	43544693	43544735	tags:0.666666666667	36513	+
hsa-mir-4312	15	69113067	69113264	tags:2061.0	18878	-
hsa-mir-4312	15	69109867	69109983	tags:20.0	15678	-
hsa-mir-5095	1	53392911	53393097	tags:2262.83333333	7691	+
hsa-mir-770	14	101312220	101316662	tags:1334.33333333	6507	+
hsa-mir-770	14	101295371	101295826	tags:170.333333333	23356	+
hsa-mir-770	14	101293584	101294218	tags:194.833333333	25143	+
hsa-mir-770	14	101302478	101302718	tags:24.5	16249	+
hsa-mir-770	14	101318498	101318553	tags:26.1666666667	229	+
hsa-mir-770	14	101295339	101302454	tags:10720.0	23388	+
hsa-mir-770	14	101292348	101292705	tags:74840.0	26379	+
hsa-mir-329-1	14	101492139	101492181	tags:0.166666666667	983	+
hsa-mir-329-1	14	101464794	101464832	tags:13.8333333333	28328	+
hsa-mir-329-1	14	101447341	101447384	tags:34.6666666667	45781	+
hsa-mir-329-1	14	101491907	101491934	tags:0.166666666667	1215	+
hsa-mir-126	9	139560204	139560272	tags:102.666666667	4850	+
hsa-mir-126	9	139564987	139565014	tags:0.166666666667	67	+
hsa-mir-127	14	101347987	101348137	tags:0.5	1329	+
hsa-mir-127	14	101349295	101349322	tags:0.166666666667	21	+
hsa-mir-127	14	101325756	101326106	tags:30.6666666667	23560	+
hsa-mir-127	14	101323492	101324274	tags:45.1666666667	25824	+
hsa-mir-127	14	101347302	101347345	tags:0.5	2014	+
hsa-mir-127	14	101317498	101318908	tags:84.1666666667	31818	+
hsa-mir-127	14	101322222	101323464	tags:74.6666666667	27094	+
hsa-mir-127	14	101302478	101302718	tags:24.5	46838	+
hsa-mir-127	14	101326129	101326869	tags:45.3333333333	23187	+
hsa-mir-127	14	101324299	101324740	tags:20.3333333333	25017	+
hsa-mir-127	14	101348291	101348333	tags:0.166666666667	1025	+
hsa-mir-127	14	101312220	101316662	tags:1334.33333333	37096	+
hsa-mir-127	14	101318498	101318553	tags:26.1666666667	30818	+
hsa-mir-19a	13	91999935	91999968	tags:4.16666666667	3210	+
hsa-mir-1254-1	10	70514927	70514970	tags:5.5	4148	+
hsa-mir-1254-1	10	70517134	70517176	tags:84.0	1941	+
hsa-mir-1254-1	10	70480783	70481164	tags:9965.33333333	38292	+
hsa-mir-1254-1	10	70480907	70481158	tags:3831.33333333	38168	+
hsa-mir-1254-1	10	70482210	70482337	tags:61.1666666667	36865	+
hsa-mir-1254-1	10	70517061	70517103	tags:2.0	2014	+
hsa-mir-1254-1	10	70515293	70515335	tags:9.33333333333	3782	+
hsa-mir-1254-1	10	70481236	70481331	tags:76.5	37839	+
hsa-mir-125b-1	11	122017188	122017231	tags:83.3333333333	46723	-
hsa-mir-125b-1	11	121971074	121971327	tags:2755.33333333	609	-
hsa-mir-125b-1	11	121972353	121972427	tags:20.8333333333	1888	-
hsa-mir-125b-1	11	121972153	121973013	tags:99.8333333333	1688	-
hsa-mir-125b-1	11	121971039	121971815	tags:419.833333333	574	-
hsa-mir-125b-1	11	121975667	121975934	tags:12.5	5202	-
hsa-mir-125b-1	11	121975961	121976404	tags:19.1666666667	5496	-
hsa-mir-125b-1	11	121972747	121972920	tags:78.1666666667	2282	-
hsa-mir-485	14	101512852	101512879	tags:0.166666666667	8904	+
hsa-mir-485	14	101506533	101506560	tags:0.166666666667	15223	+
hsa-mir-485	14	101496227	101496253	tags:0.166666666667	25529	+
hsa-mir-485	14	101491907	101491934	tags:0.166666666667	29849	+
hsa-mir-485	14	101492139	101492181	tags:0.166666666667	29617	+
hsa-mir-483	11	2158472	2158533	tags:692.0	3108	-
hsa-mir-483	11	2187888	2187922	tags:0.333333333333	32524	-
hsa-mir-483	11	2159455	2159642	tags:68.8333333333	4091	-
hsa-mir-483	11	2159462	2159587	tags:113.0	4098	-
